version,2.3.0
info,balls_per_over,6
info,team,Hyderabad (India)
info,team,Tamil Nadu
info,team_type,club
info,gender,male
info,season,2021/22
info,date,2021/11/20
info,event,Syed Mushtaq Ali Trophy
info,match_id,1280300
info,match_type,T20
info,overs,20
info,venue,Arun Jaitley Stadium
info,city,
info,toss_winner,Tamil Nadu
info,toss_decision,field
info,winner,Tamil Nadu
info,winner_wickets,8
info,player,Hyderabad (India),Tanmay Agarwal
info,player,Hyderabad (India),Pragnay Reddy
info,player,Hyderabad (India),Tilak Varma
info,player,Hyderabad (India),Himalay Agarwal
info,player,Hyderabad (India),Bavanaka Sandeep
info,player,Hyderabad (India),Ravi Teja
info,player,Hyderabad (India),Rahul Buddhi
info,player,Hyderabad (India),Tanay Thyagarajan
info,player,Hyderabad (India),CV Milind
info,player,Hyderabad (India),Mehdi Hassan
info,player,Hyderabad (India),Rakshan Readdi
info,player,Tamil Nadu,S Sandeep Warrier
info,player,Tamil Nadu,P Saravana Kumar
info,player,Tamil Nadu,M Ashwin
info,player,Tamil Nadu,M Mohammed
info,player,Tamil Nadu,R Sai Kishore
info,player,Tamil Nadu,Hari Nishaanth
info,player,Tamil Nadu,N Jagadeesan
info,player,Tamil Nadu,B Sai Sudharsan
info,player,Tamil Nadu,V Shankar
info,player,Tamil Nadu,M Shahrukh Khan
info,player,Tamil Nadu,R Sanjay Yadav
info,registry,people,B Sai Sudharsan,d5130a30
info,registry,people,Bavanaka Sandeep,bc67cc22
info,registry,people,CV Milind,7b5b6311
info,registry,people,Hari Nishaanth,c3f37533
info,registry,people,Himalay Agarwal,8e48d9a3
info,registry,people,M Ashwin,e2db2409
info,registry,people,M Mohammed,1b7c4d69
info,registry,people,M Shahrukh Khan,7dcb9bc9
info,registry,people,Mehdi Hassan,5876c626
info,registry,people,N Jagadeesan,bd54eef5
info,registry,people,P Saravana Kumar,c23938fd
info,registry,people,Pragnay Reddy,9e29431f
info,registry,people,R Sai Kishore,c7a995d3
info,registry,people,R Sanjay Yadav,33ffc3dd
info,registry,people,Rahul Buddhi,70a9b353
info,registry,people,Rakshan Readdi,adee5bbd
info,registry,people,Ravi Teja,5f39537c
info,registry,people,S Sandeep Warrier,cdc6bdba
info,registry,people,Tanay Thyagarajan,f1809c03
info,registry,people,Tanmay Agarwal,e6e9b619
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,V Shankar,0994d0ae
