version,2.3.0
info,balls_per_over,6
info,team,Lahore Qalandars
info,team,Islamabad United
info,team_type,club
info,gender,male
info,season,2022/23
info,date,2023/02/27
info,event,Pakistan Super League
info,match_id,1354939
info,match_type,T20
info,overs,20
info,match_number,16
info,venue,"Gaddafi Stadium, Lahore"
info,city,Lahore
info,toss_winner,Lahore Qalandars
info,toss_decision,bat
info,player_of_match,D Wiese
info,umpire,Faisal Afridi
info,umpire,MA Gough
info,reserve_umpire,Shozab Raza
info,tv_umpire,RK Illingworth
info,match_referee,RS Mahanama
info,target_overs,2,20
info,target_runs,2,201
info,winner,Lahore Qalandars
info,winner_runs,110
info,player,Lahore Qalandars,Mirza Baig
info,player,Lahore Qalandars,Fakhar Zaman
info,player,Lahore Qalandars,Abdullah Shafique
info,player,Lahore Qalandars,SW Billings
info,player,Lahore Qalandars,Hussain Talat
info,player,Lahore Qalandars,Sikandar Raza
info,player,Lahore Qalandars,D Wiese
info,player,Lahore Qalandars,Rashid Khan
info,player,Lahore Qalandars,Shaheen Shah Afridi
info,player,Lahore Qalandars,Haris Rauf
info,player,Lahore Qalandars,Zaman Khan
info,player,Islamabad United,C Munro
info,player,Islamabad United,Rahmanullah Gurbaz
info,player,Islamabad United,HE van der Dussen
info,player,Islamabad United,Shadab Khan
info,player,Islamabad United,Azam Khan
info,player,Islamabad United,Asif Ali
info,player,Islamabad United,Faheem Ashraf
info,player,Islamabad United,TK Curran
info,player,Islamabad United,Hasan Ali
info,player,Islamabad United,Zeeshan Zameer
info,player,Islamabad United,Abrar Ahmed
info,registry,people,Abdullah Shafique,fc2fffb5
info,registry,people,Abrar Ahmed,abb7c76c
info,registry,people,Ahsan Bhatti,5bbb4ec5
info,registry,people,Asif Ali,0a4736eb
info,registry,people,Azam Khan,ee8f1a6d
info,registry,people,C Munro,af2c687b
info,registry,people,D Wiese,aa8d28ae
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,HE van der Dussen,9948e262
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Hasan Ali,2911de16
info,registry,people,Hussain Talat,bb4b445b
info,registry,people,MA Gough,76752ac8
info,registry,people,Mirza Baig,96ce6752
info,registry,people,Mubasir Khan,7264b765
info,registry,people,RK Illingworth,20672246
info,registry,people,RS Mahanama,57910393
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SW Billings,c16d4035
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Shozab Raza,153c67dc
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,TK Curran,e86754b2
info,registry,people,Zaman Khan,28392e11
info,registry,people,Zeeshan Zameer,aad2830e
