version,2.3.0
info,balls_per_over,6
info,team,Sudur Paschim Royals
info,team,Karnali Yaks
info,team_type,club
info,gender,male
info,season,2025/26
info,date,2025/11/24
info,event,Nepal Premier League
info,match_id,1510986
info,match_type,T20
info,overs,20
info,match_number,10
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Karnali Yaks
info,toss_decision,field
info,player_of_match,DS Airee
info,umpire,BB Pradhan
info,umpire,VK Jha
info,reserve_umpire,Kamalesh Thakur
info,tv_umpire,DN Subedi
info,match_referee,Mohammed Shafique
info,target_overs,2,20
info,target_runs,2,140
info,winner,Sudur Paschim Royals
info,winner_runs,45
info,player,Sudur Paschim Royals,J Brown
info,player,Sudur Paschim Royals,B Bhandari
info,player,Sudur Paschim Royals,CA Lynn
info,player,Sudur Paschim Royals,Aarif Sheikh
info,player,Sudur Paschim Royals,I Pandey
info,player,Sudur Paschim Royals,DS Airee
info,player,Sudur Paschim Royals,Harmeet Singh
info,player,Sudur Paschim Royals,SC Kuggeleijn
info,player,Sudur Paschim Royals,N Saud
info,player,Sudur Paschim Royals,H Dhami
info,player,Sudur Paschim Royals,A Bohara
info,player,Karnali Yaks,Priyank Panchal
info,player,Karnali Yaks,MRJ Watt
info,player,Karnali Yaks,WG Bosisto
info,player,Karnali Yaks,Najibullah Zadran
info,player,Karnali Yaks,P Sarraf
info,player,Karnali Yaks,Sompal Kami
info,player,Karnali Yaks,Gulsan Jha
info,player,Karnali Yaks,A Gharti
info,player,Karnali Yaks,NK Yadav
info,player,Karnali Yaks,Y Khatri
info,player,Karnali Yaks,BP Sharma
info,registry,people,A Bohara,64fb6b15
info,registry,people,A Gharti,0b62d391
info,registry,people,Aarif Sheikh,cd4d7695
info,registry,people,B Bhandari,82342b13
info,registry,people,BB Pradhan,8603d942
info,registry,people,BP Sharma,947ceca5
info,registry,people,CA Lynn,45eda7c8
info,registry,people,D Bohara,7e46794e
info,registry,people,D Parashar,395179e8
info,registry,people,DN Subedi,fb0a571f
info,registry,people,DS Airee,1747ea18
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,H Dhami,bb20441f
info,registry,people,Harmeet Singh,0bf15e52
info,registry,people,I Pandey,ed547c49
info,registry,people,J Brown,647e7d44
info,registry,people,Kamalesh Thakur,6926399e
info,registry,people,MRJ Watt,1252f71a
info,registry,people,Mohammed Shafique,a9ca87b8
info,registry,people,N Saud,010df582
info,registry,people,NK Yadav,737e595d
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,P Sarraf,82294960
info,registry,people,Priyank Panchal,ebf25cf2
info,registry,people,SC Kuggeleijn,fef92afc
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,VK Jha,5d46eb72
info,registry,people,WG Bosisto,04ef663a
info,registry,people,Y Khatri,0d705d2d
