version,2.3.0
info,balls_per_over,5
info,team,Oval Invincibles
info,team,Trent Rockets
info,team_type,club
info,gender,male
info,season,2025
info,date,2025/08/31
info,event,The Hundred Men's Competition
info,match_id,1471035
info,match_type,T20
info,overs,20
info,venue,"Lord's, London"
info,city,London
info,toss_winner,Oval Invincibles
info,toss_decision,bat
info,player_of_match,NA Sowter
info,umpire,MA Gough
info,umpire,M Burns
info,reserve_umpire,Rob White
info,tv_umpire,NJ Llong
info,match_referee,Phil Whitticase
info,target_overs,2,20
info,target_runs,2,169
info,winner,Oval Invincibles
info,winner_runs,26
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,TS Muyeye
info,player,Oval Invincibles,JM Cox
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,D Ferreira
info,player,Oval Invincibles,TK Curran
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,NA Sowter
info,player,Oval Invincibles,A Zampa
info,player,Oval Invincibles,S Mahmood
info,player,Oval Invincibles,JP Behrendorff
info,player,Trent Rockets,T Banton
info,player,Trent Rockets,JE Root
info,player,Trent Rockets,Rehan Ahmed
info,player,Trent Rockets,DJ Willey
info,player,Trent Rockets,MP Stoinis
info,player,Trent Rockets,GF Linde
info,player,Trent Rockets,RA Whiteley
info,player,Trent Rockets,SR Hain
info,player,Trent Rockets,OB Cox
info,player,Trent Rockets,BW Sanderson
info,player,Trent Rockets,DY Pennington
info,registry,people,A Zampa,14f96089
info,registry,people,BW Sanderson,e871a7a1
info,registry,people,CG Harrison,f655d740
info,registry,people,D Ferreira,f0af99a7
info,registry,people,DJ Willey,7f048519
info,registry,people,DY Pennington,219cc59e
info,registry,people,GF Linde,e5437608
info,registry,people,JE Root,a343262c
info,registry,people,JM Cox,ff154ecd
info,registry,people,JP Behrendorff,4933f499
info,registry,people,M Burns,b3bd0666
info,registry,people,MA Gough,76752ac8
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,NJ Llong,573fb985
info,registry,people,OB Cox,324a6ee1
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RA Whiteley,d346d939
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,Rob White,59b91222
info,registry,people,S Mahmood,0f6db197
info,registry,people,SM Curran,e94915e6
info,registry,people,SR Hain,67b9536c
info,registry,people,SW Billings,c16d4035
info,registry,people,T Banton,25f7b7d6
info,registry,people,TK Curran,e86754b2
info,registry,people,TS Muyeye,10b79140
info,registry,people,WG Jacks,9caf69a1
