version,2.3.0
info,balls_per_over,6
info,team,Wellington
info,team,Northern Districts
info,team_type,club
info,gender,female
info,season,2023/24
info,date,2024/01/02
info,event,Women's Super Smash
info,match_id,1409516
info,match_type,T20
info,overs,20
info,match_number,11
info,venue,"Bay Oval, Mount Maunganui"
info,city,Mount Maunganui
info,toss_winner,Wellington
info,toss_decision,bat
info,player_of_match,AC Jayangani
info,umpire,C High
info,umpire,JM Dempsey
info,reserve_umpire,TJ Parlane
info,tv_umpire,GG Pennell
info,match_referee,GB Troup
info,target_overs,2,20
info,target_runs,2,111
info,winner,Northern Districts
info,winner_wickets,5
info,player,Wellington,RM Burns
info,player,Wellington,JT McFadyen
info,player,Wellington,AC Kerr
info,player,Wellington,GE Plimmer
info,player,Wellington,LM Kasperek
info,player,Wellington,KM Chandler
info,player,Wellington,JM Kerr
info,player,Wellington,G Sims
info,player,Wellington,NE Codyre
info,player,Wellington,N Baird
info,player,Wellington,XA Jetly
info,player,Northern Districts,CA Gurrey
info,player,Northern Districts,AC Jayangani
info,player,Northern Districts,JM Watkin
info,player,Northern Districts,SRH Curtis
info,player,Northern Districts,MBA Lamplough
info,player,Northern Districts,EAJ Richardson
info,player,Northern Districts,NH Patel
info,player,Northern Districts,C Agafili
info,player,Northern Districts,MW Downes
info,player,Northern Districts,HE Topp
info,player,Northern Districts,KA Knight
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AC Kerr,7673c908
info,registry,people,C Agafili,b9bb76c8
info,registry,people,C High,ed55e0da
info,registry,people,CA Gurrey,1e579ad5
info,registry,people,EAJ Richardson,50ee0500
info,registry,people,G Sims,aed2c7ea
info,registry,people,GB Troup,94f0e744
info,registry,people,GE Plimmer,575494db
info,registry,people,GG Pennell,d9376677
info,registry,people,HE Topp,d9b3ff0a
info,registry,people,JM Dempsey,153c9f33
info,registry,people,JM Kerr,9af58032
info,registry,people,JM Watkin,7239a365
info,registry,people,JT McFadyen,7072542f
info,registry,people,KA Knight,4291f081
info,registry,people,KM Chandler,32221cdb
info,registry,people,LM Kasperek,9b73d523
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,MW Downes,d8e8179f
info,registry,people,N Baird,c0380823
info,registry,people,NE Codyre,f587fbbe
info,registry,people,NH Patel,d945db3e
info,registry,people,RM Burns,94fe4708
info,registry,people,SRH Curtis,aa89a853
info,registry,people,TJ Parlane,3cfc24b0
info,registry,people,XA Jetly,57a49987
