version,2.3.0
info,balls_per_over,5
info,team,Northern Superchargers
info,team,Manchester Originals
info,team_type,club
info,gender,female
info,season,2023
info,date,2023/08/13
info,event,The Hundred Women's Competition
info,match_id,1355589
info,match_type,T20
info,overs,20
info,match_number,18
info,venue,"Headingley, Leeds"
info,city,Leeds
info,toss_winner,Northern Superchargers
info,toss_decision,bat
info,player_of_match,AN Davidson-Richards
info,umpire,J Naeem
info,umpire,N Pratt
info,reserve_umpire,S Widdup
info,tv_umpire,SJ O'Shaughnessy
info,match_referee,JJ Whitaker
info,target_overs,2,16
info,target_runs,2,113
info,winner,Northern Superchargers
info,winner_runs,4
info,method,D/L
info,player,Northern Superchargers,M Kelly
info,player,Northern Superchargers,JI Rodrigues
info,player,Northern Superchargers,P Litchfield
info,player,Northern Superchargers,HJ Armitage
info,player,Northern Superchargers,G Wareham
info,player,Northern Superchargers,BAM Heath
info,player,Northern Superchargers,AN Davidson-Richards
info,player,Northern Superchargers,KL Cross
info,player,Northern Superchargers,LF Higham
info,player,Northern Superchargers,LCN Smith
info,player,Northern Superchargers,G Ballinger
info,player,Manchester Originals,EL Lamb
info,player,Manchester Originals,L Wolvaardt
info,player,Manchester Originals,A Campbell
info,player,Manchester Originals,DJS Dottin
info,player,Manchester Originals,KL George
info,player,Manchester Originals,S Ecclestone
info,player,Manchester Originals,FMK Morris
info,player,Manchester Originals,A Wellington
info,player,Manchester Originals,KE Bryce
info,player,Manchester Originals,E Threlkeld
info,player,Manchester Originals,M Gaur
info,registry,people,A Campbell,4b788e61
info,registry,people,A Wellington,9b3bcca4
info,registry,people,AN Davidson-Richards,35828bdd
info,registry,people,BAM Heath,3b5a9438
info,registry,people,DJS Dottin,53bee17f
info,registry,people,E Threlkeld,c66c73f9
info,registry,people,EL Lamb,02181d9a
info,registry,people,FMK Morris,3a9b3866
info,registry,people,G Ballinger,2f485713
info,registry,people,G Wareham,f0b4e47d
info,registry,people,HJ Armitage,f05167d2
info,registry,people,J Naeem,0dc3fee0
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JJ Whitaker,4ea85016
info,registry,people,KE Bryce,f13d3eba
info,registry,people,KL Cross,1ade138e
info,registry,people,KL George,e69dbbef
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LCN Smith,340202b0
info,registry,people,LF Higham,fbd79b9b
info,registry,people,M Gaur,df9cdebf
info,registry,people,M Kelly,ebf683f9
info,registry,people,N Pratt,01f65cd3
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Widdup,65bf2837
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
